combination_name,combination,n_benchmarks,n_models,runtime_sec,top_model,top_score
ifeval_bbh_math_mmlu_pro,"('ifeval', 'bbh', 'math', 'mmlu_pro')",4,100,21.5857,Qwen2.5-72B-Instruct,1.8964
ifeval_bbh_gpqa_musr,"('ifeval', 'bbh', 'gpqa', 'musr')",4,100,20.7428,CalmeRys-78B-Orpo-v0.1,1.7295
ifeval_bbh_gpqa_mmlu_pro,"('ifeval', 'bbh', 'gpqa', 'mmlu_pro')",4,100,25.6136,CalmeRys-78B-Orpo-v0.1,1.8115
ifeval_bbh_musr_mmlu_pro,"('ifeval', 'bbh', 'musr', 'mmlu_pro')",4,100,31.6912,calme-3.1-instruct-78b,2.3047
ifeval_math_gpqa_musr,"('ifeval', 'math', 'gpqa', 'musr')",4,100,33.5488,Mistral-Large-Instruct-24,0.8715
ifeval_math_gpqa_mmlu_pro,"('ifeval', 'math', 'gpqa', 'mmlu_pro')",4,100,32.1353,Qwen2.5-72B-Instruct-abli,1.3474
ifeval_math_musr_mmlu_pro,"('ifeval', 'math', 'musr', 'mmlu_pro')",4,100,56.6321,CalmeRys-78B-Orpo-v0.1,0.9621
ifeval_gpqa_musr_mmlu_pro,"('ifeval', 'gpqa', 'musr', 'mmlu_pro')",4,100,66.3654,CalmeRys-78B-Orpo-v0.1,1.8686
bbh_math_gpqa_musr,"('bbh', 'math', 'gpqa', 'musr')",4,100,46.2359,T3Q-Qwen2.5-14B-Instruct-,1.1838
bbh_math_gpqa_mmlu_pro,"('bbh', 'math', 'gpqa', 'mmlu_pro')",4,100,22.7575,Homer-v1.0-Qwen2.5-72B,1.7127
bbh_math_musr_mmlu_pro,"('bbh', 'math', 'musr', 'mmlu_pro')",4,100,23.7736,calme-3.2-instruct-78b,1.5787
bbh_gpqa_musr_mmlu_pro,"('bbh', 'gpqa', 'musr', 'mmlu_pro')",4,100,20.4313,T3Q-Qwen2.5-14B-Instruct-,3.9472
math_gpqa_musr_mmlu_pro,"('math', 'gpqa', 'musr', 'mmlu_pro')",4,100,26.3605,Rombos-LLM-V2.5-Qwen-32b,1.3505
ifeval_bbh_math_gpqa_musr,"('ifeval', 'bbh', 'math', 'gpqa', 'musr')",5,100,25.8138,CalmeRys-78B-Orpo-v0.1,0.9442
ifeval_bbh_math_gpqa_mmlu_pro,"('ifeval', 'bbh', 'math', 'gpqa', 'mmlu_pro')",5,100,33.388,Qwen2.5-72B-Instruct-abli,1.4066
ifeval_bbh_math_musr_mmlu_pro,"('ifeval', 'bbh', 'math', 'musr', 'mmlu_pro')",5,100,29.1783,CalmeRys-78B-Orpo-v0.1,1.1981
ifeval_bbh_gpqa_musr_mmlu_pro,"('ifeval', 'bbh', 'gpqa', 'musr', 'mmlu_pro')",5,100,24.7205,calme-3.2-instruct-78b,2.0574
ifeval_math_gpqa_musr_mmlu_pro,"('ifeval', 'math', 'gpqa', 'musr', 'mmlu_pro')",5,100,26.9154,CalmeRys-78B-Orpo-v0.1,1.0243
bbh_math_gpqa_musr_mmlu_pro,"('bbh', 'math', 'gpqa', 'musr', 'mmlu_pro')",5,100,23.0753,calme-3.2-instruct-78b,1.5352
